event,date,producto_relacionado
Feast of the Immaculate Conception,2025-12-08,Jitomate (tomate rojo)
Feast of the Immaculate Conception,2025-12-08,Lechuga
Feast of the Immaculate Conception,2025-12-08,Papas fritas clásicas 170 g
Feast of the Immaculate Conception,2025-12-08,Pepino
Feast of the Immaculate Conception,2025-12-08,Tomate verde (tomatillo)
Feast of the Immaculate Conception,2025-12-08,Zanahoria
Day of the Virgin of Guadalupe,2025-12-12,Aguacate Hass
Day of the Virgin of Guadalupe,2025-12-12,Guayaba
Day of the Virgin of Guadalupe,2025-12-12,Lima
Day of the Virgin of Guadalupe,2025-12-12,Refresco limón 600 ml
Day of the Virgin of Guadalupe,2025-12-12,Mandarina
Day of the Virgin of Guadalupe,2025-12-12,Jugo de naranja 1 L
Day of the Virgin of Guadalupe,2025-12-12,Papaya
Day of the Virgin of Guadalupe,2025-12-12,Piña
Day of the Virgin of Guadalupe,2025-12-12,Plátano
Day of the Virgin of Guadalupe,2025-12-12,Tejocote
Day of the Virgin of Guadalupe,2025-12-12,Toronja (pomelo)
Day of the Virgin of Guadalupe,2025-12-12,Uva
Day of the Virgin of Guadalupe,2025-12-12,Zapote negro
Day of the Virgin of Guadalupe,2025-12-12,Acelga
Day of the Virgin of Guadalupe,2025-12-12,Ajo
Day of the Virgin of Guadalupe,2025-12-12,Betabel
Day of the Virgin of Guadalupe,2025-12-12,Calabacita
Day of the Virgin of Guadalupe,2025-12-12,Cebolla
Day of the Virgin of Guadalupe,2025-12-12,Col (repollo)
Day of the Virgin of Guadalupe,2025-12-12,Coliflor
Day of the Virgin of Guadalupe,2025-12-12,Espinaca
Day of the Virgin of Guadalupe,2025-12-12,Jitomate (tomate rojo)
Day of the Virgin of Guadalupe,2025-12-12,Lechuga
Day of the Virgin of Guadalupe,2025-12-12,Papas fritas clásicas 170 g
Day of the Virgin of Guadalupe,2025-12-12,Pepino
Day of the Virgin of Guadalupe,2025-12-12,Tomate verde (tomatillo)
Day of the Virgin of Guadalupe,2025-12-12,Zanahoria
December Solstice,2025-12-21,Aguacate Hass
December Solstice,2025-12-21,Guayaba
December Solstice,2025-12-21,Lima
December Solstice,2025-12-21,Refresco limón 600 ml
December Solstice,2025-12-21,Mandarina
December Solstice,2025-12-21,Jugo de naranja 1 L
December Solstice,2025-12-21,Papaya
December Solstice,2025-12-21,Piña
December Solstice,2025-12-21,Plátano
December Solstice,2025-12-21,Tejocote
December Solstice,2025-12-21,Toronja (pomelo)
December Solstice,2025-12-21,Uva
December Solstice,2025-12-21,Zapote negro
December Solstice,2025-12-21,Acelga
December Solstice,2025-12-21,Ajo
December Solstice,2025-12-21,Betabel
December Solstice,2025-12-21,Calabacita
December Solstice,2025-12-21,Cebolla
December Solstice,2025-12-21,Col (repollo)
December Solstice,2025-12-21,Coliflor
December Solstice,2025-12-21,Espinaca
December Solstice,2025-12-21,Jitomate (tomate rojo)
December Solstice,2025-12-21,Lechuga
December Solstice,2025-12-21,Papas fritas clásicas 170 g
December Solstice,2025-12-21,Pepino
December Solstice,2025-12-21,Tomate verde (tomatillo)
December Solstice,2025-12-21,Zanahoria
Christmas Eve,2025-12-24,Aguacate Hass
Christmas Eve,2025-12-24,Guayaba
Christmas Eve,2025-12-24,Lima
